시장명,최종주소,X,Y,점포수,bus_st_num_500m,bus_st_num_1k,Ur_rail_num_500m,Ur_rail_num_1k,Bus_te_num_2k ,Bus_te_num_3k,Bus_te_num_2_3k,spot_num_3k,spot_num_5k,spot_num_3_5k,univ_num_1k,parking_num_500m,parking_car_num_500m,점포당 주차구획수,mart_num_1.5k,Mart_num_bool,ur_park_num_165m,cull_hall_num_3k,cul_hall_num_5k,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt
(유)문경시중앙시장,경상북도 문경시 중앙로 87,128.1972168,36.5936476,38,6,16,0,0,0,0,0,0,0,0,0,10,951,25,2,1,0,1,1,40,71213,11,775,92
(주)서시장,전라남도 여수시 좌수영로 16-6,127.7286116,34.7417762,209,36,83,0,0,0,1,1,4,5,1,0,1,241,1,0,0,0,1,1,191,280549,30,3164,89
(주)신정시장,울산광역시 남구 월평로47번길 7,129.3102975,35.5423176,105,24,79,0,0,0,1,1,0,0,0,0,4,240,2,2,1,0,2,2,94,320716,18,2370,135
(주)야음시장,울산광역시 남구 야음동 815-22,129.3312246,35.5240983,90,19,63,0,0,1,1,0,0,0,0,0,1,103,1,2,1,0,1,2,85,320716,18,2370,135
(주)여수수산시장,전라남도 여수시 여객선터미널길 24,127.7317359,34.738141,115,30,95,0,0,0,1,1,4,5,1,0,4,190,2,1,1,0,1,1,124,280549,30,3164,89
1913송정역시장(송정역전매일시장),광주광역시 광산구 송정로 8번길 33,126.7914845,35.1355669,86,12,39,2,3,0,0,0,0,0,0,0,2,159,2,0,0,0,1,1,75,406126,15,1464,277
가경터미널시장,충청북도 청주시 흥덕구 풍년로160번길 42-1,127.4350317,36.6273666,84,27,114,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,85,265311,8,552,481
가락타운상가시장,부산광역시 사하구 하신번영로 233,128.9574614,35.1009883,135,0,3,0,1,0,0,0,3,4,1,0,1,28,0,1,1,0,1,1,135,312840,30,2312,135
가리봉시장,서울특별시 구로구 우마3길 15,126.8890886,37.481686,70,34,137,0,3,0,0,0,0,0,0,0,6,132,2,2,1,0,4,5,76,405194,13,1096,370
가야벽산상가,부산광역시 부산진구 엄광로 68,129.024391,35.1466738,52,0,6,0,2,0,0,0,6,15,9,1,0,0,0,2,1,0,0,2,61,359375,52,10181,35
가야상설장시장(가야시장),경상남도 함안군 가야읍 가야8길8,128.4064689,35.2772606,85,6,10,0,0,1,1,0,0,0,0,0,6,381,4,0,0,0,1,1,87,64235,4,148,434
가양시장,대전광역시 동구 매봉로 18,127.443186,36.3461683,25,18,88,0,0,1,1,0,2,4,2,0,6,331,13,6,1,0,0,2,15,222446,33,3884,57
가은아자개시장,경상북도 문경시 가은읍 가은5길 7,128.0609416,36.6464624,93,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,67,71213,11,775,92
가음정대상가,경상남도 창원시 성산구 원이대로 883번길 15-24,128.6969638,35.208006,260,20,82,0,0,0,0,0,0,2,2,0,13,843,3,0,0,0,1,1,162,215143,19,2837,76
가음정시장,경상남도 창원시 성산구 원이대로863번길24,128.6977242,35.2083081,186,22,84,0,0,0,0,0,0,2,2,0,15,1257,7,0,0,0,1,1,192,215143,19,2837,76
가좌시장,인천광역시 서구 장고개로337번길18-19,126.6833968,37.4941423,139,41,96,0,2,0,0,0,1,4,3,0,0,0,0,1,1,0,2,3,139,542611,6,689,788
가평잣고을전통시장,경기도 가평군 가평읍 장터2길10,127.5151089,37.8296647,90,13,42,0,0,1,1,0,0,0,0,0,8,261,3,0,0,1,1,1,137,62495,2,241,259
