번호,사업장명,도로명전체주소,소재지면적,X,Y
1590,주식회사 이마트 둔산점,대전광역시 서구 둔산북로 41 (둔산동),9623.17,127.3781994,36.3563924
1810,이천일아울렛 수원점,경기도 수원시 팔달구 중부대로 34-15 (인계동),8235.79,127.0204576,37.2753233
2624,홈플러스(주)안산고잔점,경기도 안산시 단원구 광덕대로 175 (고잔동),15909.39,126.8288912,37.3119235
2655,(주)이마트 고잔점,경기도 안산시 단원구 원포공원1로 46-0 (초지동),13872,126.8129766,37.3031237
3425,(주)이마트 연제점,부산광역시 연제구 연수로 89 (연산동),13800,129.0813305,35.176078
1780,(주)이마트 수원점,경기도 수원시 권선구 경수대로 270 (권선동),10907.67,127.020664,37.2506804
2015,삼성테스코(주)홈플러스 광주하남점,광주광역시 광산구 용아로 390 (하남동),9993,126.8053815,35.1779701
2016,삼성테스코(주) 홈플러스 광주하남점,광주광역시 광산구 용아로 390 (하남동),9993,126.8053815,35.1779701
3526,이마트 트레이더스 비산점,대구광역시 서구 팔달로 54 (비산동),9375.95,128.5560176,35.8898892
3529,홈플러스(주),대구광역시 서구 달구벌대로 1821 (내당동),8916.96,128.563607,35.8604708
3698,(주)이마트,강원도 태백시 굴거랑길 4 (화전동),3176.01,128.962077,37.1999282
1044,(주)이마트 역삼점,서울특별시 강남구 역삼로 310 (역삼동),5174,127.048347,37.499232
1054,롯데쇼핑(주) 롯데마트 이천점,"경기도 이천시 구만리로 191 (안흥동, 롯데캐슬 골드스카이)",14460.81,127.4545202,37.2745508
1058,(주)이마트이천점,경기도 이천시 이섭대천로 1440-50 (증포동),8879,127.4588823,37.2936833
1063,(주)이마트 여주점,경기도 여주시 세종로 151,7955.23,127.6356679,37.284267
1067,홈플러스 평택안중,경기도 평택시 안중읍 서동대로 1489,16000,126.9163861,36.9901567
1068,홈플러스 송탄점,경기도 평택시 경기대로 1103 (장당동),10343.35,127.0594877,37.0450477
1069,롯데쇼핑(주) 롯데마트 평택점,경기도 평택시 평택5로 30 (합정동),11450.91,127.1117367,36.9882918
1073,주)이마트평택점,경기도 평택시 영신로 29 (지제동),9364,127.0755267,37.0211768
1077,(주)이마트파주점,경기도 파주시 당하길 10 (당하동),9184.17,126.7510499,37.7469616
1078,(주)이마트 파주운정점,경기도 파주시 한울로 123 (동패동),10417.88,126.7450974,37.7103901
1079,홈플러스(주)파주문산점,경기도 파주시 문산읍 방촌로 1759,10326.4,126.7855296,37.869865
1080,신세계 이마트 파주점,경기도 파주시 교하동 당하길 10,0,126.7510499,37.7469616
1088,(주)이마트 트레이더스 구성점,경기도 용인시 기흥구 용구대로 2457 (보정동),10715,127.1053196,37.3048479
1089,(주)이마트 수지점,경기도 용인시 수지구 수지로 203 (신봉동),11448.84,127.083334,37.3197457
1091,(주)이마트 동백점,경기도 용인시 기흥구 동백죽전대로 444 (중동),6797.48,127.1516212,37.2780841
1095,(주)이마트 오산점,경기도 오산시 경기대로 181 (원동),11742,127.0727016,37.1406517
1096,롯데쇼핑(주) 롯데마트 오산점,경기도 오산시 경기대로 271 (오산동),8575,127.0730556,37.1494583
1097,코스트코홀세일 공세점,경기도 용인시 기흥구  탑실로  38 (공세동),13960.94,127.109026,37.2382763
1098,롯데쇼핑(주) 롯데마트 신갈점,경기도 용인시 기흥구 신갈로58번길 16 (신갈동),15152.38,127.1074315,37.2721724
1104,(주)이마트 흥덕점,경기도 용인시 기흥구 흥덕중앙로 60 (영덕동),9170.24,127.0733247,37.275749
1106,(주)농협유통하나로클럽 용인점,경기도 용인시 기흥구 중부대로 682 (상하동),4292.69,127.1361284,37.2661678
1111,(주) 이마트 충주점,"충청북도 충주시 중원대로 3420, 이마트 (문화동)",8429.86,127.9237733,36.9721524
1112,롯데쇼핑(주)롯데마트충주점,충청북도 충주시 봉계1길 49 (칠금동),9854.37,127.9144291,36.9819597
1116,롯데쇼핑(주) 롯데마트 제천점,충청북도 제천시 용두대로 111 (하소동),2996.85,128.2007763,37.1401347
