터미널,표준구주소,X(경도),Y(위도)
서울고속버스터미널,서울특별시 서초구 반포동 19-4,127.0070881,37.5053799
센트럴시티터미널,서울특별시 서초구 반포동 19-4,127.0070881,37.5053799
서울남부터미널,서울특별시 서초구 서초동 1446-1,127.0156008,37.4841413
서울상봉터미널,서울특별시 중랑구 상봉동 83-1,127.0920286,37.5958887
인천시외버스터미널,인천광역시 미추홀구 관교동 15,126.7015413,37.4415159
광명시외버스터미널,경기도 광명시 일직동 267-21,126.8845886,37.4162276
고양시외버스터미널,경기도 고양시 덕양구 화정동 974,126.8336762,37.6340922
운천시외버스터미널,경기도 포천시 영북면 운천리 510,127.2740481,38.0901558
부천시외버스터미널(공용),경기도 부천시 중동 1151,126.7693114,37.5020877
광주시외버스터미널,경기도 광주시 경안동 30,127.2591393,37.4092563
포천시외버스터미널,경기도 포천시 신읍동 43,127.2035471,37.897771
송탄공용버스터미널,경기도 평택시 지산동 770-6,127.0576526,37.0798072
광탄터미널(신성교통),경기도 파주시 광탄면 575-20,126.9113821,37.778591
적성버스공용터미널,경기도 파주시 적성면 마지리 63,126.9198242,37.9540099
금촌탄현버스터미널,경기도 파주시 금촌동 361-3,126.7687215,37.7637888
금촌서부터미널(평안),경기도 파주시 금촌동 360-3,126.7686487,37.7640764
이천시외버스터미널,경기도 이천시 중리동 219-1,127.4471721,37.2771119
오산시외버스터미널,경기도 오산시 오산동 881-1,127.0680579,37.1457516
여주시외버스터미널(종합),경기도 여주시 홍문동 269-4,127.6354896,37.2908266
양평시외버스터미널,경기도 양평군 양평읍 공흥리 484-2,127.5017217,37.4912735
안성시외버스터미널(공용),경기도 안성시 서인동 344,127.2683557,37.0067704
안산종합여객자동차터미널,경기도 안산시 상록구 성포동 590,126.8467401,37.3176854
동두천시외버스터미널,경기도 동두천시 생연동 657,127.0536958,37.905149
가평시외버스터미널,경기도 가평군 가평읍 대곡리 168-9,127.5153462,37.824647
수원시외버스터미널,경기도 수원시 팔달구 매산로1가 23,127.0014988,37.2696683
서수원시외버스터미널,경기도 수원시 권선구 구운동 925,126.9701471,37.2826276
화정시외버스터미널,경기도 고양시 덕양구 화정동 974,126.8336762,37.6340922
용인시외버스정류장(공용),경기도 용인시 처인구 김량장동 23-1,127.2104425,37.2323458
평택시외버스터미널(공용),경기도 평택시 평택동 185-245,127.087719,36.9902363
파주문산시외버스터미널,경기도 파주시 문산읍 문산리 17-122,126.7864237,37.8583146
성남버스종합터미널,경기도 성남시 중원구 성남동 24-7,127.1403024,37.437196
의정부시외버스터미널(공용),경기도 의정부시 금오동 369-5,127.0550859,37.7454664
원주 시외버스터미널,강원도 원주시 우산동 87,127.9395535,37.3677955
속초시외버스터미널,강원도 속초시 동명동 261-16,128.5911066,38.2109659
양구시외버스터미널,강원도 양구군 양구읍 상리 327-2,127.9894072,38.1076603
춘천시외버스터미널,강원도 춘천시 온의동 511,127.7186645,37.8636829
고성간성시외버스터미널,강원도 고성군 간성읍 신안리 28,128.4744867,38.383307
동해시외버스터미널,강원도 동해시 천곡동 485-10,129.1039619,37.5272085
횡성시외버스터미널,강원도 횡성군 횡성읍 읍하리 419-1,127.9848704,37.4873582
화천사창리터미널(공용),강원도 화천군 화천읍 하리 43-55,127.7042786,38.1041803
홍천시외버스터미널,강원도 홍천군 홍천읍 희망리 393,127.8784955,37.6895418
평창시외버스터미널,강원도 평창군 평창읍 하리 57-1,128.3935752,37.3663722
태백시외버스터미널,강원도 태백시 황지동 270-1,128.9852064,37.1767692
정선시외버스터미널,강원도 정선군 정선읍 북실리 757-3,128.65031,37.3788908
삼척시외버스터미널(종합)?,강원도 삼척시 남양동 341,129.1691179,37.4402531
인제시외버스터미널,강원도 인제군 인제읍 상동리 257-1,128.1731982,38.0680967
영월시외버스터미널,강원도 영월군 영월읍 하송리 187-1,128.465434,37.1831048
양양시외버스터미널,강원도 양양군 양양읍 남문리 3-52,128.6257611,38.0771632
강릉시외버스터미널,강원도 강릉시 홍제동 992-1,128.8787434,37.7543488
진천시외버스터미널,충청북도 진천군 진천읍 벽암리 569,127.4388085,36.8599358
제천시외버스터미널,충청북도 제천시 의림동 8-21,128.210991,37.1420995
음성시외버스터미널,충청북도 음성군 음성읍 읍내리 483,127.6897323,36.9339677
옥천시외버스터미널,충청북도 옥천군 옥천읍 삼양리 232-20,127.5657966,36.3046692
영동시외버스터미널,충청북도 영동군 영동읍 계산리 664-11,127.7814097,36.1734734
보은시외버스터미널,충청북도 보은군 보은읍 삼산리 17,127.721571,36.4833555
단양시외버스터미널,충청북도 단양군 단양읍 별곡리 569,128.370836,36.9858541
충주시외버스터미널(공용),충청북도 충주시 칠금동 849,127.914654,36.9816895
청주시외버스터미널남부매표소,충청북도 청주시 서원구 분평동 335-3,127.4795377,36.6082294
청주시외버스터미널북부매표소,충청북도 청주시 청원구 우암동 323-7,127.4875055,36.6507918
청주여객터미널(청주시외버스),충청북도 청주시 흥덕구 가경동 1449,127.4323877,36.6250289
대전유성간이정류장(유성시외),대전광역시 유성구 봉명동 561-13,127.3360106,36.3556787
대전서부시외버스터미널,대전광역시 중구 유천동 465-1,127.3882373,36.3137972
대전둔산간이정류장(둔산시외),대전광역시 서구 둔산동 920,127.3845367,36.3623734
대전동부시외버스터미널,대전광역시 동구 용전동 68,127.4375466,36.3526669
홍성시외버스터미널,충청남도 홍성군 홍성읍 고암리 1042,126.6760931,36.6009127
청양시외버스터미널,충청남도 청양군 청양읍 읍내리 208-4,126.8035501,36.452287
아산시외버스터미널,충청남도 아산시 모종동 555-9,127.015676,36.7850389
서천시외버스터미널,충청남도 서천군 서천읍 군사리 184-21,126.6959924,36.0754132
서산시외버스터미널,충청남도 서산시 동문동 309-3,126.4586097,36.7815846
부여시외버스터미널,충청남도 부여군 부여읍 구아리 324-1,126.9101643,36.2802851
당진시외버스터미널,충청남도 당진시 읍내동 224-4,126.6305268,36.894525
논산시외버스터미널,충청남도 논산시 취암동 1045-1,127.0882653,36.2030973
금산시외버스터미널,충청남도 금산군 금산읍 상리 34-10,127.4907485,36.1054716
