관광지명,소재지지번주소,위도,경도,면적
임진각관광지,경기도 파주시 문산읍 사목리 494-1,37.8893177,126.740081,477894
공릉관광지,경기도 파주시 조리읍 장곡리 420-6,37.7498111,126.8335655,621155
방화동가족휴가촌,전라북도 장수군 번암면 사암리 625,35.59064179,127.5268761,250000
송정관광지,경상남도 남해군 미조면 송정리 1129,34.7231451,128.0249667,605283
예당국민관광지,,36.63801252,126.799434,143000
덕산온천관광단지,충청남도 예산군 덕산면 신평리 513,36.69075649,126.659328,724544.5
만리포 관광지,충청남도 태안군 소원면 만리포2길 190-3,,,321561.8
심우장,서울특별시 성북구 성북동 222-1,37.5936268,126.9916662,386
길상사,서울특별시 성북구 성북동 324-1,37.59895542,126.9943663,16939
한국가구박물관,서울특별시 성북구 성북동 330-577,37.60001178,126.9932084,5555
성류굴 관광지,경상북도 울진군 근남면 노음리 850-12,36.95884825,129.3794409,56000
백암온천 관광지,경상북도 울진군 온정면 소태리 1453,36.72132775,129.343467,357132
대광해수욕장,전라남도 신안군 임자면 광산리 407-24,35.10291276,126.0725117,1500
반월호수,경기도 군포시 둔대동 52-2,37.32458238,126.8899642,1
초막골 생태공원,경기도 군포시 산본동 856,37.35410097,126.9191417,1
수리산 도립공원,경기도 군포시 속달동 306,37.34799646,126.9005248,1
수리산 산림욕장,경기도 군포시 산본동 1226,37.35761527,126.9236481,1
철쭉동산,경기도 군포시 산본동 1152-10,37.35560813,126.9269137,1
수리사,경기도 군포시 속달동 329,37.35443607,126.8967938,1
물누리체험관,경기도 군포시 둔대동 301-5,37.32136505,126.8996775,1
누리천문대,경기도 군포시 대야미동 636-7,37.33028283,126.9153444,1
위봉사&위봉폭포&위봉산성,,35.9105769,127.2572831,29
장흥관광지,경기도 양주시 장흥면 석현리 산 1,37.73281632,126.9492504,390000
괴강,충청북도 괴산군 괴산읍 검승리 623,36.80676203,127.8252917,238132
수옥정,충청북도 괴산군 연풍면 원풍리 52-5,36.81361722,128.036232,229469
천지연폭포,제주특별자치도 서귀포시 서홍동 666-1,33.2447447,126.5595511,273538
정방폭포,제주특별자치도 서귀포시 동홍동 278,33.24474912,126.5730486,295000
중문대포주상절리대,제주특별자치도 서귀포시 중문동 2768-1,33.23799399,126.4260174,21764
천제연폭포,제주특별자치도 서귀포시 중문동 2232,33.2526783,126.4183754,349000
산방산,제주특별자치도 서귀포시 안덕면 사계리 184,33.23697818,126.312306,643736
용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2328654,126.3118689,256000
감귤박물관,제주특별자치도 서귀포시 신효동 1200-6,33.27159304,126.6074285,98426
무극전적국민관광지,충청북도 음성군 음성읍 소여리 897,36.95063812,127.646982,18499
담양호국민관광지,전라남도 담양군 용면 월계리 149-67,35.403522,126.996118,47920000
죽녹원,전라남도 담양군 담양읍 향교리 산37-6,35.325384,126.9866176,310238
대아수목원&대아호,,35.97623865,127.3003851,150
레인보우힐링관광지,충청북도 영동군 영동읍 매천리 산 35-1번지,36.154681,127.789662,1790835
송호관광지,충청북도 영동군 양산면 송호리 249-8,36.12969079,127.676367,284000
메타세쿼이아랜드,전라남도 담양군 담양읍 학동리 578-4,35.323386,127.001852,117998
송광사&벚꽃길,,35.885763,127.2417509,30
소쇄원,전라남도 담양군 가사문학면 지곡리 123,35.18433957,127.0121779,4060
한국대나무박물관,전라남도 담양군 담양읍 천변리 401-1,35.30934385,126.9764073,3300
한국가사문학관,전라남도 담양군 가사문학면 지곡리 319,35.18796351,127.0054854,2022
슬로시티삼지내마을,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.0178938,15680
오색관광지,강원도 양양군 서면 가라피리 165,38.077641,128.510721,461000
지경관광지,강원도 양양군 현남면 지리 5-1,37.9277211,128.794439,157699
설해원(양양국제공항),강원도 양양군 손양면 동호리 510-28,38.05555608,128.6641979,2730584
황령산관광지,부산광역시 수영구 광안동 산 60-1,35.1552432,129.1029084,174890
용대관광지,강원도 인제군 북면 용대리 1795,38.18568475,128.3064484,289754
방동관광지,강원도 인제군 기린면 방동리 34-5,37.94387136,128.3962628,60900
오토테마파크,강원도 인제군 기린면 북리 516,38.00266835,128.2952729,1067964.6
대둔산도립공원,,36.11708032,127.3328815,72.64
고산자연휴양림,,35.96224205,127.2328719,692
모악산도립공원,,35.72946608,127.1098589,44.22
중랑캠핑숲,서울특별시 중랑구 망우동 76,37.606893,127.1106972,179666
옹기테마공원,서울특별시 중랑구 신내동 777,37.61265372,127.0885194,9000
서산류방택천문기상과학관,,36.72735767,126.4131464,3770
서산버드랜드,,36.62951253,126.378389,244804
용현자연휴양림,,36.7518805,126.6076383,100000
해미읍성,,36.71355717,126.5503842,196381
은평역사한옥박물관,서울특별시 은평구 진관동 135-5,37.64033246,126.9380102,6530
금성당,서울특별시 은평구 진관동 175-836,37.63513547,126.92538,2684
대성관광지,경기도 가평군 청평면 대성리 395-3번지,37.681431,127.3795214,262722
산장관광지,경기도 가평군 상면 덕현리 20-13번지,37.7541277,127.4106146,118040
금정산성마을,부산광역시 금정구 금성동 554-3,35.250339,129.0561338,7450
용마폭포공원,서울특별시 중랑구 면목동 산 1-4,37.57335201,127.0891138,167172
망우리공원,서울특별시 중랑구 망우동 산 57-1,37.59835362,127.1148164,832800
유니온파크,경기도 하남시 신장동 27,37.54654783,127.2205032,79057
광주향교,경기도 하남시 교산동 227-3,37.52207622,127.1984175,7127
이성산성,경기도 하남시 춘궁동 산 36,37.525136,127.185151,128891
탑산약수온천,경상북도 의성군 봉양면 구산리 1635,36.30396195,128.5892642,4958.6776
남원관광지,전라북도 남원시 어현동 37-19,35.40248095,127.3861268,909510
부평아트센터,인천광역시 부평구 십정동 186-22,37.4822383,126.7049334,17236
기후변화체험관,인천광역시 부평구 갈산동 403,37.50932668,126.7307645,1279
부평역사박물관,인천광역시 부평구 삼산동 451-1,37.51214216,126.7379081,3108
부평안전체험관,인천광역시 부평구 삼산동 441-6,37.51098789,126.7333177,10240
인천나비공원,인천광역시 부평구 청천동 68-12,37.52026697,126.6927245,1674
요산문학관,부산광역시 금정구 남산동 662,35.27236562,129.085732,1128
오륜대한국순교자박물관,부산광역시 금정구 부곡동 1-4,35.24570172,129.1009016,1317
부산대젊음의거리,부산광역시 금정구 장전동 643-117,35.229587,129.0888177,99
초당관광지,,37.37650408,129.2047561,2157243
요트올림픽동산지구,부산광역시 해운대구 우동 1413-4,35.16578256,129.1350266,117.958
동백섬,부산광역시 해운대구 우동 714-1,35.15234205,129.1513619,93.649
해운대해수욕장,부산광역시 해운대구 우동 620-3,35.15910698,129.1602838,115.944
달맞이동산지구,부산광역시 해운대구 중동 산 42-20,35.15768146,129.1825429,85.845
여수세계박람회장,전라남도 여수시 덕충동 2005,34.75218956,127.7465005,598000
여수해양공원,전라남도 여수시 종화동 458-5,34.73676698,127.7484079,0
예술랜드리조트,전라남도 여수시 돌산읍 평사리 산244,34.69510702,127.7769452,65904
여수이순신대교,전남 여수시 묘도동 산127-37,34.888766,127.705501,0
치산관광지,경북 영천시 신녕면 치산리 산255,36.047161,128.712799,270000
영산호관광지,전라남도 영암군 삼호읍 나불리 일원,34.776135,126.4578178,669217
마한문화,전라남도 영암군 시종면 옥야리 956,34.8954066,126.584196,182000
성기동,전라남도 영암군 군서면 동구림리 산18,34.7555659,126.6299326,220000
금마관광지,전라북도 익산시 금마면 동고도리 534-3,36.0015063,127.0570781,208700
미륵사지관광지,전라북도 익산시 금마면 기양리 104-1,36.01154232,127.0287139,108743
왕궁보석테마 관광지,전라북도 익산시 왕궁면 동용리 541-1,35.99061279,127.1025486,160460
웅포관광지,전라북도 익산시 웅포면 웅포리 727,36.06581391,126.8754193,2576294
두타연,강원도 양구군 방산면 고방산리 1024,38.272446,127.995484,30
한반도섬,강원도 양구군 양구읍 고대리 649-1,38.130582,127.982972,4500
구문소 관광지,강원도 태백시 동점동 498-123,37.0929806,129.042284,130000
삼척해수욕장,,37.47034344,129.1647024,236846
맹방관광지,,37.39591618,129.2207941,779988
장호관광지,,37.2868038,129.3079336,175400
보은 삼년산성,충청북도 보은군 보은읍 어암리 280-1,36.48993999,127.7417752,232655
보은 우당고택,충청북도 보은군 장안면 개안리 154,36.46857583,127.7906134,33057
속리산 법주사,충청북도 보은군 속리산면 사내리 209,36.53993659,127.8306346,125625
동학농민혁명기념공원,충청북도 보은군 보은읍 성족리 산16,36.51567136,127.7591951,336992
자갈치시장,부산광역시 중구 남포동4가 37-1,35.09661444,129.0305818,0
40계단테마거리,부산광역시 중구 중앙동4가 38-1,35.10397225,129.0346287,0
BIFF광장,부산광역시 중구 남포동5가 18-1,35.09862035,129.0287588,0
영도대교,부산광역시 중구 남포동1가 33-9,35.09725344,129.035681,0
금정산,부산광역시 금정구 산성로,35.28423411,129.0554547,18845
범어사,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,3513
회동수원지,부산광역시 금정구 오륜동 353-2,35.24707332,129.115753,2017
서동미로시장,부산광역시 금정구 서동 341-10,35.21586987,129.102466,20000
스포원파크,부산광역시 금정구 두구동 1641,35.28912108,129.1070434,99
한국이슬람부산성원,부산광역시 금정구 남산동 30-1,35.25998626,129.0922564,99
삽교호관광지,,36.88890544,126.8247541,240154
왜목마을관광지,,37.04493276,126.5246154,133876
난지섬관광지,,37.047036,126.4242087,155440
진하해수욕장,울산광역시 울주군 서생면 진하리 307-2,35.3855388,129.3415755,44000
영남알프스 복합웰컴센터,울산광역시 울주군 상북면 등억알프스리 515-4,35.55645417,129.0679842,29866000
외고산옹기마을,울산광역시 울주군 온양읍 고산리 501-18,35.435094,129.2795067,174580
화암사,,36.06629938,127.2872339,1083
반구대암각화,울산광역시 울주군 언양읍 대곡리 991,35.60863087,129.172957,117937
작괘천,울산광역시 울주군 상북면 등억알프스리 18-2,35.563321,129.061043,100000
대운산 내원암 계곡,울산광역시 울주군 온양읍 운화리 1312,35.39913422,129.2309807,891008
간절곶 공원,울산광역시 울주군 서생면 대송리 2,35.3625312,129.3591079,584984
선바위관광지,,36.60854407,129.0820141,94913
오전약수관광지,경상북도 봉화군 물야면 오전리 95-35,37.01209531,128.7457209,137000
다덕약수관광지,경상북도 봉화군 봉성면 우곡리 505-5,36.9141215,128.8273232,88720
수동관광지,경기도 남양주시 수동면 내방리 254,37.75797919,127.2753596,225000
오동도,전라남도 여수시 수정동 1-2,34.7443435,127.764121,130000
진남관,전라남도 여수시 군자동 472,34.7413383,127.7365704,792
향일암,전라남도 여수시 율림리 산 7,34.59379448,127.8029861,0
여수해상케이블카,전라남도 여수시 수정동 332-57,34.7402223,127.7529197,0
망상,강원도 동해시 망상동 393-100 망상종합관광안내소,37.59225327,129.0896922,459397
추암,강원도 동해시 추암동 1,37.477063,129.159196,33216
녹진관광지,전라남도 진도군 군내면 녹진리 산2-14,34.568986,126.300201,227299
회동관광지,전라남도 진도군 고군면 금계리 153-1,34.42726548,126.3513474,2962920
아리랑마을관광지,전라남도 진도군 임회면 상만리 11,34.38201529,126.2310334,298930
달성토성마을,대구광역시 서구 비산동 404-5,35.87331563,128.5753765,45000
고석정,강원도 철원군 동송읍 장흥리 20-1,38.18542141,127.2874037,793689
직탕,강원도 철원군 갈말읍 상사리 552,38.2069247,127.2690548,94530
비비정,,35.90154901,127.071693,98
비비정예술열차,,35.89880244,127.0676418,876
상관 공기마을 편백숲,,35.737491,127.2023884,86
삼례문화예술촌,,35.90623513,127.0658535,11800
삼례책마을,,35.90745719,127.065756,2445
그림책미술관,,35.90832046,127.068059,757
오도산 자연휴양림,경상남도 합천군 봉산면 압곡리 산150,35.67233319,128.0553007,506854
보수동책방골목,부산광역시 중구 보수동1가 124-15,35.10323904,129.0263248,0
용두산공원,부산광역시 중구 광복동2가 1-2,35.1009305,129.0324434,0
광복로,부산광역시 중구 창선동1가 44,35.09947039,129.0311659,0
부산영화체험박물관,부산광역시 중구 동광동3가 41-4,35.10169342,129.033594,0
다산초당,,34.5807211,126.7449445,3000
고려청자박물관,,34.50866203,126.8008374,3000
백련사,,34.58775658,126.747892,3000
무릉계곡,강원도 동해시 삼화동 860-1,37.463551,129.01451,156000
소래습지생태공원,,37.40736572,126.7463366,1478000
소래철교,,37.3988308,126.7403795,152
