순번,학제,학교명,주소,X,Y
1,대학교,강릉원주대학교,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",128.8700127,37.7695146
2,대학교,강릉원주대학교,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",127.9226492,37.3047711
3,대학교,강원대학교,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",127.7443761,37.8693008
4,대학교,강원대학교,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",129.1586136,37.4537641
5,대학교,경북대학교,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",128.6152824,35.8906998
6,대학교,경상대학교,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",128.0980365,35.1534251
7,대학교,공주대학교,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",127.1409268,36.4691788
8,대학교,군산대학교,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",126.682007,35.9459959
9,대학교,금오공과대학교,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",128.3923457,36.1459196
10,대학교,목포대학교,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",126.4372034,34.9108306
11,대학교,목포해양대학교,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",126.3648484,34.7918188
12,대학교,부경대학교,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",129.1050108,35.1338959
13,대학교,부산대학교,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",129.0820249,35.2325792
14,대학교,서울대학교,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",126.9526673,37.4589025
15,대학교,순천대학교,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",127.4802297,34.9687174
16,대학교,안동대학교,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)",128.7973432,36.5427224
17,대학교,전남대학교,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교)",126.9088123,35.1777022
18,대학교,전남대학교,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스)",127.6994307,34.7749187
19,대학교,전북대학교,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교)",127.1313893,35.8462511
20,대학교,제주대학교,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교)",126.5668686,33.4521489
21,대학교,창원대학교,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",128.6940505,35.2450886
22,대학교,충남대학교,"대전광역시 유성구 대학로 99 (궁동, 충남대학교)",127.3461023,36.3693341
23,대학교,충북대학교,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)",127.4594173,36.6257764
24,대학교,한국교원대학교,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교)",127.3593191,36.6105636
25,대학교,한국체육대학교,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)",127.1308897,37.5201508
26,대학교,한국해양대학교,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",129.089244,35.0762323
27,대학교,한국교통대학교,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",127.8719267,36.9737209
28,대학교,경남과학기술대학교,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",128.0941716,35.1807508
