공원명,소재지지번주소,위도,경도,공원면적
다모아,광주광역시 광산구 월곡동 520-1,35.17091117,126.8069508,2231
햇살,광주광역시 광산구 월곡동 503,35.17400451,126.8068776,1689.4
월곡하늘,광주광역시 광산구 월곡동 608-1,35.16724236,126.8101866,1815
월곡솔밭,광주광역시 광산구 월곡동 575-10,35.16906946,126.8142921,1736.7
어등,광주광역시 광산구 우산동 1572-4,35.1648958,126.8082646,5600.2
수랑,광주광역시 광산구 우산동 1602-1,35.1590708,126.8046124,8300.3
서작,광주광역시 광산구 우산동 1590-1,35.15900541,126.8111189,1600
빛뫼,광주광역시 광산구 비아동 667-1,35.22364515,126.8194491,1500.7
꽃밭등,광주광역시 광산구 비아동 695-1,35.2219464,126.8190399,2721.9
조형,광주광역시 광산구 비아동 689-3,35.22077212,126.8173597,1500
아산,광주광역시 광산구 비아동 699-1,35.22206079,126.8208014,1500.8
비아,광주광역시 광산구 비아동 710-1,35.22109664,126.8222227,1500.2
도루메,광주광역시 광산구 도산동 1287-5,35.1305649,126.7887934,1585.7
임방울,광주광역시 광산구 도산동 1296-1,35.12833815,126.7896111,1500
용동,광주광역시 광산구 용동 684-1,35.12997258,126.7520881,4480.9
웃음꽃,광주광역시 광산구 운남동 769-7,35.178146,126.818957,1517.4
목련,광주광역시 광산구 운남동 770-1,35.17626664,126.8195583,3374.8
꿈사랑,광주광역시 광산구 운남동 771-4,35.177823,126.822172,2486.5
뭉게뭉게,광주광역시 광산구 운남동 776-5,35.177751,126.826501,1920.5
여울빛,광주광역시 광산구 운남동 777-4,35.176656,126.8279226,2414.1
가온,광주광역시 광산구 신가동 961-2,35.185762,126.832012,2302.4
신가,광주광역시 광산구 신가동 963-5,35.184726,126.832129,2845.9
천사,광주광역시 광산구 신가동 1004-6,35.184017,126.834517,1534
선광,광주광역시 광산구 신가동 1009,35.183146,126.836837,1525.7
아람,광주광역시 광산구 신창동 1108-2,35.186193,126.837449,1643.8
쉼목,광주광역시 광산구 신가동 981-1,35.187477,126.836785,2962.5
맑은샘,광주광역시 광산구 월곡동 681-2,35.17877687,126.8106736,1500.1
야호숲,광주광역시 광산구 월곡동 685-2,35.173388,126.810754,1500.3
풍영정천,광주광역시 광산구 운남동 781-2,35.177946,126.814155,1520
목련무지개,광주광역시 광산구 운남동 782-2,35.177823,126.816099,1518
모라공원,부산광역시 사상구 모라동 1365-1,35.18314619,128.9901196,13352
해름소공원,부산광역시 사상구 엄궁동 652-16,35.12458406,128.9655055,835
다누림공원,부산광역시 사상구 학장동 288-12,35.14744636,128.9948739,1300
모라벤처타워공원,부산광역시 사상구 모라동 1375-3,35.19018525,128.9845747,735.8
주감공원,부산광역시 사상구 주례동 1288-1,35.15559281,128.9955956,1250
모라틔움공원,부산광역시 사상구 모라동 1385,35.19221424,128.9954564,7701.3
문화공원,"부산광역시 사상구 덕포동 415-1, 413-1",35.17327119,128.9853405,3160
동원공원,대구광역시 수성구 만촌동 1017-2,35.862218,128.643211,475.7
광명공원,대구광역시 수성구 만촌동 1023-11,35.860199,128.641572,728.9
무열공원,대구광역시 수성구 만촌동 991-8,35.865661,128.647851,659.2
동신공원,대구광역시 수성구 황금동 750,35.84755584,128.6188804,1982.2
수목공원,대구광역시 수성구 황금동 721,35.8491393,128.6182606,1976.5
황금공원,대구광역시 수성구 황금동 802,35.84577596,128.6193578,1993.1
대경공원,대구광역시 수성구 황금동 882-2,35.8413469,128.6183464,1952.7
무궁화공원,대구광역시 수성구 중동 12,35.850844,128.615914,1664.1
상록수공원,대구광역시 수성구 중동 127,35.844165,128.615561,1984.1
중동공원,대구광역시 수성구 중동 171,35.841633,128.615449,1981.8
