역번호,역사명,노선번호,노선명,역위도(y좌표),역경도(x좌표),역사도로명주소
100,동매역,S2601,부산도시철도 1호선,35.048621,128.965908,부산광역시 사하구 신산로 지하 168
99,장림역,S2601,부산도시철도 1호선,35.057419,128.971279,부산광역시 사하구 다대로 지하 230
98,신장림역,S2601,부산도시철도 1호선,35.065265,128.979873,부산광역시 사하구 다대로 지하 310
97,낫개역,S2601,부산도시철도 1호선,35.074433,128.977041,부산광역시 사하구 다대로 지하 422
96,다대포항역,S2601,부산도시철도 1호선,35.081631,128.977636,부산광역시 사하구 다대로 지하 548
95,다대포해수욕장,S2601,부산도시철도 1호선,35.089951,128.973971,부산광역시 사하구 다대로 지하 692
101,신평역,S2601,부산도시철도 1호선,35.095179,128.960564,부산광역시 사하구 하신번영로 140
110,자갈치역,S2601,부산도시철도 1호선,35.097372,129.02667,부산광역시 중구 구덕로 지하 80
111,남포역,S2601,부산도시철도 1호선,35.097953,129.034869,부산광역시 중구 구덕로 지하 12
105,괴정역,S2601,부산도시철도 1호선,35.099816,128.992144,부산광역시 사하구 낙동대로 지하 221
104,사하역,S2601,부산도시철도 1호선,35.099847,128.9831,부산광역시 사하구 낙동대로 지하 309
109,토성역,S2601,부산도시철도 1호선,35.100727,129.019776,부산광역시 서구 구덕로 지하 170
106,대티역,S2601,부산도시철도 1호선,35.103126,128.999936,부산광역시 사하구 낙동대로 지하 141
103,당리역,S2601,부산도시철도 1호선,35.103532,128.973846,부산광역시 사하구 낙동대로 지하 405
112,중앙역,S2601,부산도시철도 1호선,35.103837,129.036371,부산광역시 중구 중앙대로 지하 83
102,하단역,S2601,부산도시철도 1호선,35.10618,128.966803,부산광역시 사하구 낙동남로 지하 1415
100,녹동역,S2901,광주도시철도 1호선,35.107028,126.933932,광주광역시 동구 녹동길 45(용산동)
108,동대신역,S2601,부산도시철도 1호선,35.110452,129.017684,부산광역시 서구 구덕로 지하 290
107,서대신역,S2601,부산도시철도 1호선,35.110937,129.012178,부산광역시 서구 대영로 지하 1
113,부산역,S2601,부산도시철도 1호선,35.115224,129.0397,부산광역시 동구 중앙대로 지하 200
114,초량역,S2601,부산도시철도 1호선,35.121168,129.043039,부산광역시 동구 중앙대로 지하 264
101,소태역,S2901,광주도시철도 1호선,35.124108,126.932013,광주광역시 동구 남문로 지하 587(소태동)
119,평동역,S2901,광주도시철도 1호선,35.1245829,126.769586,광주광역시 광산구 평동로 870(월전동)
115,부산진역,S2601,부산도시철도 1호선,35.127787,129.047894,부산광역시 동구 중앙대로 지하 350
118,도산역,S2901,광주도시철도 1호선,35.131713,126.787942,광주광역시 광산구 상무대로 지하 125-99(도산동)
102,학동증심사입구역,S2901,광주도시철도 1호선,35.133023,126.928382,광주광역시 동구 남문로 지하 700(학동)
116,좌천역,S2601,부산도시철도 1호선,35.134361,129.054455,부산광역시 동구 중앙대로 지하 446
214,못골역,S2602,부산도시철도 2호선,35.134731,129.084415,부산광역시 남구 수영로 지하 170
214,못골역,S2602,부산도시철도 2호선,35.134731,129.084415,부산광역시 남구 수영로 지하 170
213,대연역,S2602,부산도시철도 2호선,35.135153,129.092161,부산광역시 남구 수영로 지하 242
213,대연역,S2602,부산도시철도 2호선,35.135153,129.092161,부산광역시 남구 수영로 지하 242
215,지게골역,S2602,부산도시철도 2호선,35.135574,129.074365,부산광역시 남구 수영로 지하 70
215,지게골역,S2602,부산도시철도 2호선,35.135574,129.074365,부산광역시 남구 수영로 지하 70
117,광주송정역,S2901,광주도시철도 1호선,35.137529,126.791488,광주광역시 광산구 상무대로 지하 201-99(송정동)
421,송정역,k0211,동해선,35.137559,126.791535,부산광역시 해운대구 송정동 299-2
212,경성대부경대역,S2602,부산도시철도 2호선,35.137585,129.100548,부산광역시 남구 수영로 지하 324
212,경성대부경대역,S2602,부산도시철도 2호선,35.137585,129.100548,부산광역시 남구 수영로 지하 324
216,문현역,S2602,부산도시철도 2호선,35.139151,129.067399,부산광역시 남구 전포대로 지하 17
216,문현역,S2602,부산도시철도 2호선,35.139151,129.067399,부산광역시 남구 전포대로 지하 17
117,범일역,S2601,부산도시철도 1호선,35.140952,129.059352,부산광역시 동구 범일로 지하 108
211,남천역,S2602,부산도시철도 2호선,35.142139,129.107978,부산광역시 수영구 수영로 지하 410
211,남천역,S2602,부산도시철도 2호선,35.142139,129.107978,부산광역시 수영구 수영로 지하 410
114,김대중컨벤션센터(마륵)역,S2901,광주도시철도 1호선,35.143214,126.841442,광주광역시 서구 상무대로 지하 705(마륵동)
116,송정공원역,S2901,광주도시철도 1호선,35.143565,126.799245,광주광역시 광산구 상무대로 지하 314-99(송정동)
115,공항역,S2901,광주도시철도 1호선,35.144179,126.8112104,광주광역시 광산구 상무대로 지하 416-99(신촌동)
104,문화전당역(구도청),S2901,광주도시철도 1호선,35.144698,126.9196731,광주광역시 동구 문화전당로 26번길 지하 7(광산동)
217,국제금융센터부산은행역,S2602,부산도시철도 2호선,35.145817,129.066755,부산광역시 남구 전포대로 지하 97
217,국제금융센터부산은행역,S2602,부산도시철도 2호선,35.145817,129.066755,부산광역시 남구 전포대로 지하 97
113,상무역,S2901,광주도시철도 1호선,35.146784,126.848641,광주광역시 서구 상무대로 지하 777(마륵동)
118,범내골역,S2601,부산도시철도 1호선,35.1474,129.059261,부산광역시 부산진구 중앙대로 지하 612
103,남광주역,S2901,광주도시철도 1호선,35.1478534,126.921807,광주광역시 동구 제봉로 지하 14(학동)
