_시설명,주    소,X,Y
강동아트센터,서울특별시 강동구 동남로 870 (상일동),127.1573741,37.5511858
강북문화예술회관,서울특별시 강북구 삼각산로 85,127.0133446,37.6408043
관악문화관도서관,서울특별시 관악구 신림로3길 35,126.9448904,37.4677717
나루아트센터,서울 광진구 능동로 76,127.0705582,37.5375773
구로아트밸리 예술극장,서울특별시 구로구 가마산로25길 9-24,126.8889927,37.4965612
금나래아트홀,서울시 금천구 시흥대로 73길 70,126.8954342,37.4569307
노원문화예술회관,서울시 노원구 중계로 181,127.0802729,37.6502382
마포아트센터,서울시 마포구 대흥로20길 28,126.945511,37.5498622
서대문문화체육회관,서울시 서대문구 홍은2동 백련사길 39,126.931457,37.5806503
서초문화예술회관,서울특별시 서초구 강남대로 201,127.035825,37.4818302
성동문화회관,서울특별시 성동구 왕십리로 281,127.0360053,37.5592587
성수문화복지회관,서울특별시 성동구 뚝섬로1길 43,127.0470822,37.5453374
양천문화회관,목동서로 367(신정동),126.8633889,37.51676238
영등포아트홀,서울시 영등포구 국회대로 596 영등포구민회관,126.9000967,37.5259399
용산아트홀,서울 용산구 녹사평대로 150,126.9902895,37.5324491
은평문화예술회관,서울 은평구 녹번로16(녹번동),126.927911,37.6037025
충무아트센터,서울 중구 퇴계로 387,127.0147969,37.5659496
종로문화체육센터,서울 종로구 인왕산로1길 21,126.9646616,37.5742335
재단법인 세종문화회관,서울 종로구 세종대로 175,126.9758963,37.5722501
구로구민회관,서울시 구로구 가마산로25길21,126.8896205,37.4969366
도봉구민회관,서울 도봉구 도봉로 552,127.0386789,37.6541054
금정문화회관,부산광역시 금정구 체육공원로 7,129.0941778,35.2458643
부산문화회관,부산광역시 남구 유엔평화로6번길 1,129.0939194,35.12739643
부산예술회관,부산광역시 남구 용소로 78,129.1024446,35.1307373
부산시민회관,부산광역시 동구 자성로133번길 16,129.065223,35.1388402
동래문화회관,부산광역시 동래구 문화로 80,129.0899434,35.2118757
부산광역시 북구 문화예술회관,부산광역시 북구 금곡대로46번길 50,129.0057446,35.2134336
영도문화예술회관,부산광역시 영도구 함지로79번길 6(동삼동),129.0660489,35.0750413
해운대문화회관,부산광역시 해운대구 양운로 97(좌동),129.1739697,35.1711233
영화의전당,부산광역시 해운대구 수영강변대로 120,129.1275326,35.1709425
을숙도문화회관,부산광역시 사하구 낙동남로1233번길 25,128.9449374,35.1096949
민주공원 공연장,부산광역시 중구 민주공원길 19,129.0279305,35.1095875
대덕문화전당,대구광역시 남구 앞산순환로 478,128.5769703,35.8313037
아양아트센터,대구광역시 동구 효동로2길 24,128.6519321,35.8796186
서구문화회관,대구광역시 서구 당산로 403,128.5454985,35.8726231
대구오페라하우스,대구광역시  북구 호암로 15,128.5922226,35.883452
어울아트센터,대구광역시 북구 구암로 47,128.546213,35.9347204
봉산문화회관,대구광역시  중구 봉산문화길 77,128.5965909,35.8633761
대구콘서트하우스,대구광역시 중구 태평로 141,128.5938285,35.8760262
수성아트피아,대구광역시 수성구 무학로 180,128.6282777,35.8292979
웃는얼굴아트센터,대구광역시 달서구 문화회관길 160,128.5225371,35.8431708
대구문화예술회관,대구광역시 달서구 공원순환로 201,128.5586465,35.8446668
달성문화센터,대구광역시 달성군 대실역북로2길 188,128.4609515,35.8654782
중구문화회관,중구 축항대로 296번길 81(신흥동 3가 39-24),126.6270916,37.43779912
인천수봉문화회관,미추홀구 수봉안길 78,126.6622031,37.4612781
트라이보울,인천광역시 연수구 인천타워대로 250(송도동),126.6351332,37.3939952
아트센터 인천,인천광역시 연수구 아트센터대로 222(송도동),126.6267879,37.3939797
남동소래아트홀,인천광역시 남동구 아암대로 1437번길 32(논현동),126.7245963,37.3874253
인천문화예술회관,인천광역시 남동구 예술로 149,126.7000892,37.447717
부평아트센터,부평구 아트센터로 166,126.7048961,37.4822251
계양문화회관,인천광역시 계양구 계양산로35번길 11,126.7181532,37.546027
인천서구문화회관,서구 서달로 190 1층(가정동),126.6797819,37.5157426
강화문예회관,강화군 강화읍 고비고개로 19번길 12,126.4745798,37.7452841
광주문화예술회관,광주광역시 북구 북문대로 60,126.8815966,35.1777244
서구문화센터,광주광역서 서구 마재로3,126.8600268,35.1312778
5·18기념문화센터,광주광역시 서구 내방로 152(쌍촌동),126.8576281,35.1575171
광주남구문화예술회관,광주광역시 남구 봉선로 208,126.9175423,35.1220208
빛고을시민문화관,광주광역시 남구 천변좌로 338번길 7,126.9083384,35.1482678
광산문화예술회관,광주 광산구 광산로68번길13,126.7992461,35.1405295
동구문화센터,광주광역시 동구 남문로 646,126.9309288,35.1285845
대전예술의전당,대전광역시 서구 둔산대로 135 대전예술의전당,127.3849698,36.3668188
대전시립연정국악원,대전광역시 서구 둔산대로181,127.3894302,36.3664271
관저문예회관,대전광역시 서구 관저동로105번길 20,127.3395416,36.3016777
대전예술가의집,대전광역시 중구 중앙로 32 (문화동 1-27번지),127.4160695,36.322318
대덕문예회관,대전광역시 대덕구 대전로 1348,127.4206421,36.3740898
울산문화예술회관,남구 번영로 200(달동),129.3263117,35.54286307
중구문화의전당,울산광역시 중구 종가로 405,129.3215405,35.5675395
꽃바위문화관,동구 문현3길 6,129.4112702,35.48718332
북구문화예술회관,북구 산업로 1000,129.3614092,35.58162805
울주문화예술회관,울주군 범서읍 천상중앙길 36,129.232075,35.5644402
세종문화예술회관,세종특별자치시 조치원읍 문예회관길 22,127.2875966,36.5997746
경기아트센터,경기도 수원시 팔달구 효원로 307번길 20,127.0371645,37.2614575
수원SK아트리움,경기도 수원시 장안구 이목로 24-25,126.9858301,37.3089032
수원시민회관,경기도 수원시 팔달구 팔달산로 28,127.0113017,37.2735982
고양시문예회관,경기도 고양시 덕양구 고양시청로 10(주교동),126.8324039,37.6581907
고양아람누리,경기도 고양시 일산동구 중앙로 1286,126.7739667,37.6611297
고양어울림누리,경기도 고양시 덕양구 어울림로 33,126.8356093,37.6496087
용인포은아트홀,경기도 용인시 수지구 포은대로 499,127.1052519,37.3257886
용인시문예회관,경기도 용인시 처인구 중부대로 1392번길 5,127.1988768,37.2326466
문화예술원 마루홀,경기도 용인시 처인구 중부대로 1199,127.1777043,37.2406654
성남아트센터,경기도 성남시 분당구 성남대로 808(야탑동),127.1310273,37.4027704
부천시민회관,경기도 부천시 부일로 365,126.770512,37.4881883
복사골문화센터,경기도 부천시 장말로 107,126.7542101,37.4947842
동탄복합문화센터,경기도 화성시 노작로 134,127.0769315,37.2028608
유앤아이센터,경기도 화성시 태안로 145,127.0333894,37.2030722
모두누림센터,경기도 화성시 시청로 155,126.8300116,37.19913875
안산문화예술의전당,경기도 안산시 화랑로 312,126.8228568,37.32017347
다산아트홀,경기도 남양주시 다산중앙로 7,127.155568,37.6139307
안앙아트센터,경기 안양시 만안구 문예로36번길 16,126.931645,37.3848278
평촌아트홀,경기도 안양시 동안구 평촌대로 76(호계동),126.9640185,37.3799798
남부문화예술회관,경기도 평택시 중앙로 277,127.1141535,36.9910583
북부문화예술회관,경기도 평택시 경기대로 1366,127.0651372,37.0665389
서부문화예술회관,경기도 평택시 안중읍 서동대로 1531,126.9196521,36.9895737
파주시민회관,경기도 파주시 시민회관길 33,126.7806279,37.7588941
문산행복센터,경기도 파주시 문산읍 통일로 1680,126.7910176,37.8567492
운정행복센터,경기도 파주시 와석순환로 415,126.7515153,37.7239822
솔가람아트홀,경기도 파주시 가람로 116번길 170,126.7635551,37.7305242
의정부예술의전당,경기도 의정부시 의정로1,127.034389,37.7332701
김포아트홀,경기도 김포시 돌문로 26,126.7201313,37.6188953
남한산성아트홀,경기도 광주시 회안대로 891,127.2547749,37.4267728
광명시민회관,경기도 광명시 시청로20,126.8646311,37.4780385
군포문화예술회관,경기도 군포시 고산로 599,126.9272907,37.3662806
하남문화예술회관,경기도 하남시 신평로 125(덕풍동),127.2072185,37.5445208
오산문화예술회관,경기도 오산시 경기동로 41,127.0769878,37.1593561
양주시문화예술회관,경기도 양주시 광적면 부흥로618번길 303,126.972183,37.8129426
이천아트홀,경기도 이천시 부악로40,127.434433,37.2721587
구리아트홀,경기도 구리시 아차산로 453,127.1298655,37.5956151
안성맞춤아트홀,경기도 안성시 발화대길 21,127.2791959,37.0011145
