주차장명,주소,주차구획수,위도,경도
남새싹5길,인천광역시 부평구 부평동 747-3,5,37.48903538,126.720057
화랑로,인천광역시 부평구 산곡동 371-82,54,37.4936086,126.702259
늘봄1길,인천광역시 부평구 부평동 767-190,5,37.48719899,126.7138465
남부역1길,인천광역시 부평구 부평동 610-3,10,37.48791539,126.7281473
산곡배움2길,인천광역시 부평구 산곡동 311-102,8,37.4934246,126.7060426
경인로1024번길,"인천광역시 부평구 부개동 240-5,6번지 일원",20,37.486148,126.7330149
무지개아파트옆,인천광역시 부평구 산곡동 254-3,13,37.50072123,126.7044694
남부고가,"인천광역시 부평구 부평동 738-2, 5번지 일원",30,37.4890468,126.717625
사랑샘공원,인천광역시 부평구 삼산동 497,101,37.52087835,126.7364054
청천2동,인천광역시 부평구 청천동 178-17,18,37.51473881,126.7051042
삼산해돋이,인천광역시 부평구 삼산동 428-1,48,37.5169041,126.7334848
일신동,인천광역시 부평구 일신동 171-7,6,37.48173752,126.7423648
길주로339번길,인천광역시 부평구 산곡동 산132,27,37.50984136,126.6981245
부평시장대정,인천광역시 부평구 부평동 374-5,105,37.4971589,126.724511
인천나비공원,인천광역시 부평구 청천동 125-3,107,37.520771,126.6981589
부원,인천광역시 부평구 부평동 341-193,111,37.49171809,126.7191122
부평깡시장,인천광역시 부평구 부평동 416-9,128,37.49867037,126.726853
부평삼거리역,인천광역시 부평구 십정동 576-9,73,37.4775567,126.7096235
수변로85번길,인천광역시 부평구 부개동 120-74,29,37.49463026,126.739602
하모리 제주은행맞은편,제주특별자치도 서귀포시 대정읍 하모리 846-11,18,33.22143941,126.253279
아랑조을거리주차장,제주특별자치도 서귀포시 서귀동 312-6,37,33.247784,126.560306
성산읍사무소 옆,제주특별자치도 서귀포시 성산읍 고성리 1022-8,31,33.442407,126.911426
쇠소깍,제주특별자치도 서귀포시 하효동 990-1,54,33.254249,126.622494
고성리 원광어린이집 인근,제주특별자치도 서귀포시 성산읍 고성리 1089,15,33.449139,126.910826
천지공영주차빌딩,제주특별자치도 서귀포시 서귀동 305-1,220,33.25152344,126.5593512
우산동주민센터,광주광역시 북구 우산동 264-2,14,35.17030369,126.9209384
풍향동주민센터,광주광역시 북구 풍향동 597-11,8,35.16447448,126.9232702
문화동주민센터,광주광역시 북구 각화동 224-12,7,35.18149708,126.9368598
문흥1동주민센터,광주광역시 북구 문흥동 996-6,8,35.18676652,126.9216296
문흥2동주민센터,광주광역시 북구 문흥동 1010-9,14,35.18432223,126.9219174
두암1동주민센터,광주광역시 북구 두암동 877-10,20,35.17103696,126.9289643
두암2동주민센터,광주광역시 북구 두암동 825-9,20,35.17460117,126.9325311
두암3동주민센터,광주광역시 북구 두암동 249,17,35.16301813,126.9347535
삼각동주민센터,광주광역시 북구 삼각동 791-4,23,35.19926457,126.8994886
일곡동주민센터,광주광역시 북구 일곡동 849-4,11,35.20603007,126.8972795
일곡동주민센터,광주광역시 북구 일곡동 849-5,9,35.20602282,126.8972795
매곡동주민센터,광주광역시 북구 매곡동 80,7,35.18963533,126.8920694
오치1동주민센터,광주광역시 북구 오치동 941-2,19,35.18910416,126.9081312
오치2동주민센터,광주광역시 북구 오치동 861-6,18,35.19004634,126.9004838
석곡동주민센터,광주광역시 북구 망월동 668-3,14,35.21501557,126.9500443
건국동주민센터,광주광역시 북구 본촌동 378-1,19,35.22294676,126.8816343
양산동주민센터,광주광역시 북구 양산동 1019-1,8,35.20916495,126.8796423
신안동 공영주차장,광주광역시 북구 신안동 120-2외 1필지,19,35.164144,126.905295
삼각동 일곡엘리체 공영주차장,광주광역시 북구 삼각동 837,46,35.19674368,126.8981828
본촌동 공영주차장,광주광역시 북구 본촌동 2931,28,35.21652283,126.8788846
유동 쌈지,광주광역시 북구 유동 103-4,8,35.160841,126.905949
본촌동 쌈지주차장,광주광역시 북구 유동 103-4,7,35.16083147,126.9059242
운암어린이공원 지하공영주차장,광주광역시 북구 운암동 95,56,35.17405645,126.8814556
남도향토음식박물관 옆 공영주차장,광주광역시 북구 삼각동 781-3,33,35.201204,126.8985704
중흥3구역 1주차장,광주광역시 북구 중흥동 280-4,82,35.17308222,126.9138092
중흥3구역 2주차장,광주광역시 북구 중흥동 361-17,64,35.17295579,126.9134756
화봉공원,울산광역시 북구 화봉동 445-1,129,35.58943549,129.3648249
윗소사,경기도 부천시 소사본동 179,171,37.47405869,126.7945737
중앙공원,경기도 부천시 중동 1177-1,982,37.50136599,126.7653349
춘의동 임시,경기도 부천시 춘의동 212-8,56,37.49888209,126.7858161
한신철골,경기도 부천시 소사본동 200-1,216,37.47312398,126.7980175
난장,경기도 부천시 상동 529-2,300,37.50905498,126.7456182
복사골문화센터,경기도 부천시 상동 394-2,182,37.49478407,126.7542147
소사어울마당,경기도 부천시 소사본동 64,239,37.48004701,126.799948
송내어울마당,경기도 부천시 송내동 387-4,118,37.48250133,126.7665427
용운동 일반통행길(하행길),대전광역시 동구 용운동 447-6~489-7번지선,21,36.3270641,127.4500077
용운동 일방통행길(상행길),대전광역시 동구 용운동 487~451-18,38,36.3270641,127.4500077
원평동소공원,경상북도 구미시 원평동 1078,42,36.133805,128.329268
공단구조화,경상북도 구미시 공단동 295-16,26,36.09563111,128.3891969
공단구조화,경상북도 구미시 공단동 296-34,26,36.09513126,128.3905316
공단구조화,경상북도 구미시 공단동 295-31,26,36.09464264,128.3886475
공단구조화,경상북도 구미시 공단동 296-29,26,36.100151,128.367643
