fclt_name,rdnm_addr,x_cd,y_cd,stor_cnt,residnt_cnt_sum,점포수,점포당대상인구수 = 시군구거주인구 / 점포수,시군구거주인구 
(주)동문시장,제주특별자치도 제주시 동문로 16,126.5283197,33.5127966,,492072,20,81,6075
칠성로상점가,제주특별자치도 제주시 칠성로길 35,126.5267894,33.5144309,,492072,20,203,2424
보성시장,제주특별자치도 제주시 동광로1길 32,126.5279393,33.5033077,,492072,20,62,7937
동문공설시장,제주특별자치도 제주시 동문로4길 9,126.5282423,33.5120874,,492072,20,68,7236
서문공설시장,제주특별자치도 제주시 서문로4길 13-2,126.5179062,33.5113512,,492072,20,100,4921
동문수산시장,제주특별자치도 제주시 관덕로 64-1,126.5261823,33.5126896,,492072,20,94,5235
동문재래시장,제주특별자치도 제주시 관덕로14길 20,126.5260182,33.5115903,,492072,20,300,1640
중앙로상점가,제주특별자치도 제주시 중앙로 20,126.5245646,33.5166649,,492072,20,229,2149
한림매일시장,제주특별자치도 제주시 한림읍 한림로17길 7,126.2641033,33.4166891,,492072,20,64,7689
신산시장,제주특별자치도 제주시 고마로17길 11,126.54198,33.5060363,,492072,20,56,8787
도남시장,제주특별자치도 제주시 신성로 91,126.5288228,33.4964447,,492072,20,104,4731
이방정기시장,경상남도 창녕군 이방면 이방대합로 351,128.3828417,35.6014119,,61400,4,34,1806
완도중앙시장,전라남도 완도군 완도읍 장보고대로282-1,126.7552368,34.3144698,,49975,7,17,2940
장현5일장,경기도 남양주시 진접읍 장현로88번길 5-15,127.1827779,37.7183649,100,712900,2,127,5613
광릉5일장,경기도 남양주시 진접읍 광릉내로 43-1,127.1996638,37.7437684,27,712900,2,127,5613
경안시장,경기도 광주시 경안로25번길14,127.2571666,37.4087454,80,381324,1,80,4767
죽전로데오상점가시장,경기도 용인시 수지구 용구대로 2725-3,127.1077813,37.3286254,100,375947,1,100,3759
원당시장,경기도 고양시 덕양구 호국로790번길17,126.8372528,37.656281,59,476341,2,137,3477
능곡시장,경기도 고양시 덕양구 능곡로12-9,126.8211495,37.6212722,78,476341,2,137,3477
현대시장,경기도 성남시 수정구 수정북로18(태평동),127.1319785,37.4417014,63,242157,2,84,2883
신흥시장,경기도 성남시 수정구 수정로214번길6(신흥동),127.1433869,37.4439793,21,242157,2,84,2883
권선종합시장,경기도 수원시 권선구 세권로 185(권선동),127.0245796,37.2560989,101,369150,2,151,2445
수원가구거리상점가,경기도 수원시 권선구 권선로 690(권선동),127.0265563,37.2589436,50,369150,2,151,2445
양재시장,서울특별시 서초구 남부순환로356길 15(양재동),127.037966,37.4843108,31,425431,4,185,2300
남부종합시장,서울특별시 서초구 방배중앙로 27길 17,126.9848056,37.4949922,84,425431,4,185,2300
양재시장,서울특별시 서초구 남부순환로356길 15,127.037966,37.4843108,30,425431,4,185,2300
남부종합시장,서울특별시 서초구 방배중앙로27길 17,126.9848056,37.4949922,40,425431,4,185,2300
일산시장,경기도 고양시 일산서구 일청로12번길9,126.7708264,37.6856226,88,302981,2,147,2061
패션1번지,경기도 고양시 일산서구 탄중로101번길13,126.755787,37.6930205,59,302981,2,147,2061
연수구옥련시장,인천광역시 연수구 독배로 40번길 35,126.64683,37.4246218,61,385973,3,218,1771
옥련시장,인천광역시 연수구 한진로 25번길 4,126.6477541,37.4249508,80,385973,3,218,1771
송도역전시장,인천광역시 연수구 한나루로 202-6,126.6576577,37.4271406,77,385973,3,218,1771
도일시장,경기도 시흥시 도일로 100-4,126.7840607,37.3393902,54,497925,4,332,1500
삼미시장,경기도 시흥시 삼미시장2길 35,126.7838201,37.4404075,150,497925,4,332,1500
정왕시장,경기도 시흥시 정왕시장길 51,126.748569,37.345806,74,497925,4,332,1500
도일시장,경기도 시흥시 도일로 100-4,126.7840607,37.3393902,54,497925,4,332,1500
일로전통시장,전라남도 무안군 일로읍 시장길 11-22,126.4943346,34.8475351,46,85245,2,58,1470
망운전통시장,전라남도 무안군 망운면 조산길 2,126.3919782,35.0114829,12,85245,2,58,1470
공릉동도깨비시장,서울특별시 노원구 동일로180길 53,127.0771594,37.6228631,105,523708,4,358,1463
상계중앙시장,서울특별시 노원구 상계로 23가길 24,127.0702768,37.6590492,70,523708,4,358,1463
공릉동도깨비시장,서울특별시 노원구 동일로180길 37 공릉상가,127.0762493,37.6226904,107,523708,4,358,1463
상계중앙시장,서울특별시 노원구 상계로27길 32,127.0698633,37.6599602,76,523708,4,358,1463
부곡도깨비시장,경기도 의왕시 부곡시장길 18,126.9507058,37.3194661,113,163978,1,113,1451
김포중앙시장,경기도 김포시 북변중로 55,126.7105212,37.626105,124,469340,4,354,1326
통진시장,경기도 김포시 통진읍 서암로84번길 1,126.5993171,37.6924031,77,469340,4,354,1326
양곡시장,경기도 김포시 양촌읍 양곡로 537,126.6237267,37.6548679,76,469340,4,354,1326
양곡오라니장터시장,경기도 김포시 양촌읍 양곡1로56번길 13,126.6237054,37.6561611,77,469340,4,354,1326
호계공설시장,울산광역시 북구 호계3길 17-11,129.355738,35.6236161,50,218882,4,200,1094
화봉시장,울산광역시 북구 상방로 94,129.3658257,35.58882,50,218882,4,200,1094
호계공설시장,울산광역시 북구 호계3길 17-11,129.355738,35.6236161,50,218882,4,200,1094
화봉시장,울산광역시 북구 상방로 94,129.3658257,35.58882,50,218882,4,200,1094
송정시장,부산광역시 기장군 철마면 두송길 7-31,129.1116483,35.304732,32,173918,2,181,961
기장시장,부산광역시 기장군 읍내로 104번길 16,129.2148685,35.2436968,149,173918,2,181,961
사기막골도자기시장,경기도 이천시 경충대로 2993번길 37,127.4124327,37.294307,54,219525,3,238,922
관고전통시장,경기도 이천시 중리천로31번길 22,127.4403608,37.2808197,110,219525,3,238,922
장호원전통시장,경기도 이천시 장호원읍 서동대로8965번길 36,127.6307631,37.1148686,74,219525,3,238,922
성정시장,충청남도 천안시 서북구 성정로 78,127.1388922,36.813559,53,400708,4,463,865
성환이화시장,충청남도 천안시 서북구 성환읍 성환시장길 12,127.1300316,36.9185394,165,400708,4,463,865
성환이화시장,충청남도 천안시 서북구 성환읍 성환시장길 12,127.1300316,36.9185394,165,400708,4,463,865
성정시장,충청남도 천안시 서북구 양지7길 22,127.1387372,36.8127646,80,400708,4,463,865
