시장명,청년몰명칭,전체 점포 수,휴폐업,영업률,y,x,음식업,공방,도소매업,서비스업
경동시장,서울훼미리,20,1,95,37.57902684,127.0388509,14,3,3,0
이대앞스타트업상점가,이화52번가,22,10,54.54545455,37.55939644,126.9450396,9,2,0,1
국제시장,109인 청년몰,14,14,0,35.10253922,129.0281113,0,0,0,0
서면시장,온나,17,2,88.23529412,35.15554491,129.0581093,10,3,0,1
약령시장,청춘단장,19,1,94.73684211,35.86839221,128.5909947,8,0,8,1
현풍백년도꺠비시장,현이와 풍이의 청춘신난장,19,2,89.47368421,35.69532763,128.4454642,12,3,1,3
산격종합시장,신다림길,12,4,66.66666667,35.89830351,128.6106385,9,0,0,1
신포시장,눈꽃마을,21,11,47.61904762,37.48494974,126.6269996,1,1,0,2
강화중앙시장,개벽2333,20,19,5,37.74748636,126.4841232,2,0,0,0
중앙메가프라자,청년구단,17,13,23.52941176,36.32690169,127.4339924,8,1,0,1
신정평화시장,키즈와맘,19,1,94.73684211,35.53843414,129.3035853,9,1,1,0
신안코아,톡,20,0,100,37.2940678,126.8663887,13,0,0,7
통복시장,청년숲,19,2,89.47368421,36.99722365,127.0839697,12,0,0,0
영동시장,28청춘,28,5,82.14285714,37.27750612,127.0185756,7,9,4,3
삼척중앙시장,청춘해,24,0,100,37.44222132,129.1651334,12,3,1,3
정선아리랑시장,청아랑,15,3,80,37.38050341,128.6651911,6,2,2,0
정선사북시장,별애별청년몰,10,0,100,37.22813333,128.8179458,7,0,3,0
속초중앙시장,갯배st,20,0,100,38.20265016,128.59229,13,2,2,2
원주중앙시장,미로예술중앙시장,18,1,94.44444444,37.34951356,127.9501982,6,8,1,2
춘천중앙시장,육림고개,20,4,80,37.87752129,127.727136,13,4,1,0
관아골상가,청춘대로,16,2,87.5,36.97073606,127.9343733,1,2,2,8
제천중앙시장,청년제천몰,19,18,5.263157895,37.13677433,128.2113175,1,0,1,0
천안명동대흥로상점가,흥흥발전소,13,1,92.30769231,36.80841949,127.1486152,4,3,3,1
금산시장,금빛시장 청년몰,18,4,77.77777778,36.09950164,127.4913755,7,1,3,1
진안고원시장,진안고원시장청년몰,10,1,90,35.79316813,127.4291442,4,0,4,2
김제전통시장,아리락,10,1,90,35.80114289,126.8844662,9,0,1,0
전주서부시장,청춘시전,12,4,66.66666667,35.80496789,127.1265586,3,0,1,2
군산공설시장,물랑루즈,14,5,64.28571429,35.98372696,126.7204214,5,2,3,0
삼례시장,삼삼오오,10,4,60,35.91034877,127.0731651,3,2,2,2
여수중앙시장,꿈뜨락몰,26,12,53.84615385,34.74072424,127.7325304,13,1,1,2
문경중앙시장,오!미자네 청년몰,10,2,80,36.59362194,128.1979675,3,0,1,3
안동중앙시장,오고가게,20,5,75,36.56502994,128.7238916,13,1,0,1
선산봉화시장,황제청년몰,20,6,70,36.23979899,128.3011118,4,6,3,3
북부상가시장,욜로몰,18,6,66.66666667,35.85357327,129.2076179,6,0,3,3
진주중앙지하도상가,황금상점,20,2,90,35.19794176,128.084898,3,8,2,7
진주중앙시장,비단길청년몰,11,4,63.63636364,35.19440664,128.0851952,9,0,0,0
김해동상시장,동춘씨,14,2,85.71428571,35.23642274,128.8838943,9,1,1,3
제주중앙로상점가,생기발랄,16,2,87.5,33.5127368,126.5252855,8,2,5,0
