시장명,최종주소,X,Y,store_num,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt,매출액
통영중앙전통시장,경상남도 통영시 중앙시장1길14-16,128.4246173,34.8452616,294,58,0,4,5,0,0,2,0,9,693,348,128595,3,724,178,93.56757479
서호전통시장,경상남도 통영시 새터길 58-9,128.4200707,34.841401,242,54,0,2,5,0,0,2,0,6,759,240,128595,3,724,178,91.18024359
부여 새시장,충청남도 부여군 부여읍 부여로 12,126.9096536,36.2809924,74,41,0,2,4,0,0,1,0,8,129,75,65431,13,980,67,88.17779961
부여중앙시장,충청남도 부여군 부여읍 중앙로13번길 14-3,126.9121897,36.2819167,82,38,0,2,4,0,0,1,0,6,96,80,65431,13,980,67,85.44691325
나주목사고을시장,전라남도 나주시 청동길 14,126.723908,35.0367867,132,23,0,2,9,0,0,1,0,0,0,164,115153,6,971,119,84.87163335
부여시장,충청남도 부여군 부여읍 성왕로173번길 12,126.9074637,36.2815853,84,35,0,2,4,0,0,1,0,4,63,86,65431,13,980,67,83.85927688
양구중앙시장,강원도 양구군 양구읍 중앙길 68,127.9892367,38.1040834,59,39,0,2,1,0,0,1,0,35,996,55,22350,1,55,406,81.89396691
광양매일시장,전라남도 광양시 광양읍 매천로 821-5,127.5851923,34.975774,53,105,0,2,8,0,2,1,0,0,0,51,150680,11,831,181,81.75169332
팔달신시장,대구광역시 북구 팔달로 105,128.5645814,35.8916879,520,104,4,2,4,0,0,2,1,12,821,650,440736,52,9067,49,81.21017504
원고개시장,대구광역시 서구 통학로46길 48,128.5682992,35.8802867,127,122,2,2,4,0,0,3,0,9,257,130,171060,28,3962,43,81.04433056
남부종합시장,서울특별시 서초구 방배중앙로 27길 17,126.9848921,37.4949013,134,75,2,3,4,0,0,0,0,1,52,84,425431,4,185,2300,80.12445313
남성시장,서울특별시동작구동작대로29길8(사당동),126.9815686,37.4881509,140,105,3,2,5,0,0,0,0,0,0,140,391896,22,1372,286,79.89262897
역전시장,전라남도 순천시 역전장길 9,127.5035851,34.9437996,150,114,0,2,4,0,0,0,1,1,19,40,82623,4,230,359,79.7154742
양재시장,서울특별시서초구남부순환로356길15(양재동),127.0379753,37.4843166,31,102,2,2,4,0,1,1,0,2,207,31,425431,4,185,2300,79.03350282
산성전통시장,대전광역시 중구 대둔산로 420,127.3871244,36.3065905,44,95,0,2,4,0,0,0,0,6,137,75,236492,21,2660,89,78.48982591
왜관시장,경상북도 칠곡군 왜관읍 시장2길 9,128.3981981,35.995384,122,39,0,2,3,0,0,1,0,3,116,120,114951,4,378,304,77.85342635
삼례시장,전라북도 완주군 삼례읍 삼례리 923-8,127.0735077,35.9106128,60,47,0,0,5,1,0,1,0,6,678,43,91445,6,293,312,77.671465
원대신시장,대구광역시 서구 달서로 54길 6,128.5746942,35.885538,51,141,3,2,6,0,1,2,1,7,240,56,171060,28,3962,43,77.43205958
김해전통시장(김해동상시장),경상남도 김해시 호계로 517번길 5-13,128.8838564,35.2362166,170,68,0,2,6,0,0,1,1,1,36,170,542350,12,1232,440,76.94627185
교동시장,대구광역시 중구 교동2길11,128.5983515,35.8736964,147,167,3,0,5,0,0,3,1,31,1861,240,76727,40,9744,8,75.78621535
공주산성시장,충청남도 공주시 용당길 22,127.1226105,36.4588168,560,82,0,2,3,0,0,1,0,11,224,529,104736,6,1941,54,75.51448874
번개시장,대구광역시 중구 태평로1가 1-152,128.5980848,35.8750407,120,161,3,0,5,0,0,3,1,27,1224,160,76727,40,9744,8,75.3744522
산성시장활성화구역,충청남도 공주시 국고개길 11,127.1256781,36.454883,318,85,0,2,3,0,1,1,0,11,267,307,104736,6,1941,54,74.58583908
성북시장,부산광역시 동구 성북로 56,129.0487731,35.1387583,115,5,2,0,9,0,0,1,0,22,434,115,89031,20,7374,12,74.00737239
수정시장,부산광역시 동구 고관로 106,129.0463995,35.1282055,70,10,2,0,11,0,0,2,0,18,510,53,89031,20,7374,12,73.77696181
새영주시장,부산광역시 중구 영주동 20-16,129.0363065,35.1126981,68,10,2,0,22,0,0,1,0,8,449,68,41501,30,6993,6,73.73626477
