시장명,청년몰명칭,store_num,휴폐업,sales_per_store,MONEY,salesrate,x,y,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt
김제전통시장,아리락,10,1,122.7,1227,90,35.80114289,126.8844662,20,0,2,3,0,0,1,0,24,1101,65,82623,4,230,359
속초중앙시장,갯배st,20,0,107.3,"2,146",100,38.20265016,128.59229,20,0,2,4,0,0,1,1,8,586,400,82636,2,750,110
삼례시장,삼삼오오,10,4,106.8,1068,60,35.91034877,127.0731651,31,0,0,2,1,0,1,0,7,748,43,91445,6,293,312
정선사북시장,별애별청년몰,10,0,102.5,1025,100,37.22813333,128.8179458,10,0,0,1,0,0,0,0,9,649,60,36937,4,555,67
통복시장,청년숲,19,2,92.52631579,"1,758",89.47368421,36.99722365,127.0839697,95,1,2,1,0,0,1,0,25,1804,625,534343,5,1283,416
진안고원시장,진안고원시장청년몰,10,1,90.4,904,90,35.79316813,127.4291442,16,0,2,1,0,0,0,0,16,913,60,25351,3,168,151
약령시장,청춘단장,19,1,83.57894737,1588,94.73684211,35.86839221,128.5909947,142,10,0,6,0,0,3,1,129,8157,211,76727,40,9744,8
강화중앙시장,개벽2333,20,19,83.4,"1,668.00",5,37.74748636,126.4841232,36,0,0,2,0,0,1,0,13,845,84,69074,6,866,80
서면시장,온나,17,2,80.58823529,"1,370",88.23529412,35.15554491,129.0581093,39,3,0,5,0,0,1,1,4,151,210,359375,52,10181,35
신포시장,눈꽃마을,21,11,69.9047619,"1,468",47.61904762,37.47172477,126.6276865,55,0,0,7,0,0,0,0,107,2556,164,139646,3,730,191
진주중앙시장,비단길청년몰,11,4,69.27272727,762,63.63636364,35.19440664,128.0851952,66,0,2,2,0,0,1,1,20,401,845,347795,18,3724,93
중앙메가프라자,청년구단,17,13,65.70588235,"1,117.00",23.52941176,36.32690169,127.4339924,174,3,0,1,0,0,1,0,54,3404,195,222446,33,3884,57
제주중앙로상점가,생기발랄,16,2,63.6875,1019,87.5,33.5127368,126.5252855,58,0,0,0,0,0,1,1,49,1405,0,492072,20,229,2149
천안명동대흥로상점가,흥흥발전소,13,1,60.30769231,784,92.30769231,36.80841949,127.1486152,86,2,2,0,0,0,1,1,18,1116,123,258269,6,1493,173
원주중앙시장,미로예술중앙시장,18,1,58.5,1053,94.44444444,37.34951356,127.9501982,51,0,1,0,0,0,2,0,46,2716,320,353928,8,1329,266
정선아리랑시장,청아랑,15,3,55.73333333,836,80,37.38050341,128.6651911,15,0,1,0,0,0,2,0,15,834,308,36937,4,555,67
김해동상시장,동춘씨,14,2,53.28571429,746,85.71428571,35.23642274,128.8838943,46,0,1,0,0,0,1,1,15,531,170,542350,12,1232,440
관아골상가,청춘대로,16,2,51.5,824,87.5,36.97073606,127.9343733,74,0,1,2,0,1,1,1,2,184,95,210313,21,3285,64
진주중앙지하도상가,황금상점,20,2,51.35,1027,90,35.19794176,128.084898,60,0,2,1,0,1,1,1,20,401,845,347795,18,3724,93
국제시장,109인 청년몰,14,14,49.78571429,697,0,35.10253922,129.0281113,16,4,0,2,0,0,1,1,8,540,580,41501,30,6993,6
이대앞스타트업상점가,이화52번가,22,10,43.31818182,953,54.54545455,37.55939644,126.9450396,41,2,0,2,4,0,3,0,1,30,34,312325,11,1085,288
군산공설시장,물랑루즈,14,5,43.28571429,606,64.28571429,35.98372696,126.7204214,15,0,1,0,0,0,1,1,9,454,282,267911,14,1567,171
문경중앙시장,오!미자네 청년몰,10,2,43.2,432,80,36.59362194,128.1979675,6,0,0,0,0,0,1,1,21,1365,141,71213,11,775,92
삼척중앙시장,청춘해,24,0,39.625,951,100,37.44222132,129.1651334,15,0,1,0,0,0,1,1,15,617,243,65409,4,416,157
산격종합시장,신다림길,12,4,39.41666667,473,66.66666667,35.89830351,128.6106385,28,0,0,3,1,0,2,1,15,308,216,440736,52,9067,49
북부상가시장,욜로몰,18,6,39,702,66.66666667,35.85357327,129.2076179,7,0,1,0,0,1,2,0,1,31,60,253468,31,6195,41
현풍백년도꺠비시장,현이와 풍이의 청춘신난장,19,2,36.42105263,692,89.47368421,35.69532763,128.4454642,20,0,0,3,0,1,0,1,5,255,64,258945,10,413,627
여수중앙시장,꿈뜨락몰,26,12,35.65384615,927,53.84615385,34.74072424,127.7325304,38,0,0,0,0,0,1,1,8,647,28,282618,17,1197,236
안동중앙시장,오고가게,20,5,34.75,695,75,36.56502994,128.7238916,17,0,1,0,0,0,1,1,22,658,313,158803,22,2003,79
